id	név	irszám	település	cím
102	Fodor Noel	3334	Alsóváros	Mátyás Flórián tér 23
103	Fekete Kristóf	5017	Nagyfalu	Thököly út 10
104	Kocsis-Nagy Bálint	4010	Kisfalu	Kaptató utca 16
105	Vass-Kereki Bella	3333	Alsóváros	Dohány utca 20
106	Fábián-Ötvös Kamilla	5017	Nagyfalu	Stiglicfogdosó 38
107	Horváth Lilien	3334	Alsóváros	Naspolya utca 24
108	Fekete Boróka	3334	Alsóváros	Rákos Lajos utca 6
109	Magyar Zalán	5017	Nagyfalu	Pelikán dűlő 5
110	Gál Péter	3380	Felsőváros	Verseny utca 33
111	Hegedüs Tamara	4010	Kisfalu	Feketerigó utca 28
112	Pásztor Hanna	4012	Kisfalu	Turini utca 17
113	Tóth Marcell	4012	Kisfalu	Turini utca 28
114	Balogh Dalma	3333	Alsóváros	Diósi út 58
115	Kiss Denisz	5017	Nagyfalu	Támfa köz 51
116	Varga Péter	3334	Alsóváros	Sport utca 10
117	Németh Levente	3380	Felsőváros	Vajda János utca 62
118	Balogh-Tóth Lara	5017	Nagyfalu	Örs utca 33
119	Fehér Olivér Tamás	3379	Felsőváros	Hamvas utca 60
120	Szabó Amira	4010	Kisfalu	Erdész utca 38
121	Horváth Dorottya	5017	Nagyfalu	Pelikán dűlő 28
122	Katona Zita	5017	Nagyfalu	Szántó Kovács János utca 9
123	Hegedűs Dominik	4010	Kisfalu	Enyezd út 54
124	Veres Kevin	5017	Nagyfalu	Kőrös utca 35
125	Nagy Péter	3379	Felsőváros	Cseralja utca 26
126	Kovács Janka	3334	Alsóváros	Gyár utca 9
127	Szabó Dániel	4010	Kisfalu	Bajor utca 11
128	Szabó Benett	3379	Felsőváros	Hamvas utca 18/A
129	Lengyel Eszter	3334	Alsóváros	Sellő utca 36
130	Orbán Alex	3333	Alsóváros	Fagyal utca 66
131	Orbán Réka	3379	Felsőváros	Éger köz 36
132	Molnár Fanni	3334	Alsóváros	Hal tér 20
133	Nagy Dorka	3380	Felsőváros	Rakéta utca 27
134	Lakatos Benett	3380	Felsőváros	Verseny utca 24
135	Nagy Milán	3333	Alsóváros	Felsőgyükési út 12
136	Nagy Márton	3334	Alsóváros	Kolónia utca 49
137	Papp Dániel	3334	Alsóváros	Sport utca 51
138	Szabó Zoltán	4010	Kisfalu	Juhász Gyula tér 8
139	Szücs Panna	5017	Nagyfalu	Örs utca 31
140	Tóth Zente	3379	Felsőváros	Eperfás út 16
141	Varga-Takács Botond	3379	Felsőváros	Cseralja utca 56
142	Hegedüs Nikolasz	3333	Alsóváros	Bokály dűlő 45
143	Somogyi Botond	4010	Kisfalu	Ezis utca 50
144	Sándor Natasa Éva	4010	Kisfalu	Erdész utca 16
145	Németh Réka	3334	Alsóváros	Pellérdi út 60
146	Szabó Dorina	5017	Nagyfalu	Stiglicfogdosó 2
147	Simon Barnabás	4012	Kisfalu	Zerge utca 18
148	Váradi Csenge	3334	Alsóváros	Sport utca 4
149	Nagy Marcell Márk	3380	Felsőváros	Rakéta utca 36
150	Kiss Zsófia	3380	Felsőváros	Mókus utca 22
151	Gál Balázs	3380	Felsőváros	Verseny utca 51
152	Tóth Sára	4010	Kisfalu	József utca 40
153	Szabó Nimród	4012	Kisfalu	Pajtás utca 12
154	Horváth Ádám	3334	Alsóváros	Szajkó utca 52
155	Fekete Norbert	3334	Alsóváros	Opris Péter tér 43
156	Faragó Laura	5017	Nagyfalu	Thököly út 44
157	Horváth Vilmos	3333	Alsóváros	Bokály dűlő 30
158	Németh Botond	3379	Felsőváros	Gerbera utca 1
159	Kiss Noé	5017	Nagyfalu	Pelikán dűlő 28
160	Juhász Levente	3380	Felsőváros	Verseny utca 57
161	Takács Kamilla	3380	Felsőváros	Kassák Lajos utca 33
162	Orosz Gergő	5017	Nagyfalu	Harangöntő utca 28
163	Horváth Sára	3379	Felsőváros	Eperfás út 48
164	Farkas Hunor	4010	Kisfalu	Hőgyes Endre utca 54
165	Sándor Balázs	3334	Alsóváros	Sellő utca 9
166	Sipos Gergely	4010	Kisfalu	Bessenyei utca 8
167	Juhász Boróka	5017	Nagyfalu	Szántó Kovács János utca 16
168	Pál Lili	4012	Kisfalu	Turini utca 41
169	Kiss Natália	3380	Felsőváros	Vadkörte utca 58
170	Jónás Noel	3379	Felsőváros	Dombos utca 16
171	Kocsis Milla	3379	Felsőváros	Eperfás út 59
172	Nagy Szofi	5017	Nagyfalu	Mécses utca 46
173	Takács Panna Éva	5017	Nagyfalu	Kodolányi János utca 36
174	Varga Vilmos	4010	Kisfalu	Bessenyei utca 25
175	Németh Dávid	3333	Alsóváros	Bajmi köz 42
176	Török Barnabás	3333	Alsóváros	Csárda utca 12
177	Kiss Tamás	4012	Kisfalu	Zerge utca 59
178	Varga Barbara	3379	Felsőváros	Cseralja utca 54
179	Kocsis Bence	5017	Nagyfalu	Kőrös utca 53
180	Nagy Enikő	3379	Felsőváros	Görgey Artúr utca 45
181	Pintér Lujza	3334	Alsóváros	Kőbánya dűlő 55
182	Szabó Mirella	5017	Nagyfalu	Stiglicfogdosó 32
183	Molnár Áron	5017	Nagyfalu	Szántó Kovács János utca 23
184	Nagy Zsolt	4012	Kisfalu	Zerge utca 15
185	Varga Hanna	3334	Alsóváros	Szajkó utca 48
186	Németh Alexander	3379	Felsőváros	Gránátalma utca 58
187	Szabó Benedek	3334	Alsóváros	Kőbánya dűlő 44
188	Horváth Zétény	3379	Felsőváros	Éger köz 31
189	Németh Olivér	4010	Kisfalu	Krúdy Gyula utca 54
190	Németh Ábel	3333	Alsóváros	Dohány utca 63
191	Orbán Lilien	3379	Felsőváros	Barackos köz 20
192	Mészáros Tamás	3379	Felsőváros	Bajnok utca 16
193	Vörös Boglárka	5017	Nagyfalu	Kút utca 43
194	Jónás István	3334	Alsóváros	Hal tér 29
195	Kis Bence	5017	Nagyfalu	Thököly út 48
196	Németh Natasa	3334	Alsóváros	Mécsvirág utca 34
197	Faragó Soma	3334	Alsóváros	Pellérdi út 28
